#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          gle1                 -              4e-71  238.5  19.4     4e-59  198.9   0.0   3.0   2   1   1   3   3   3   3 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0S5G2|G0S5G2_CHATD -          gle1                 -                8.1    3.2  24.1        11    2.7  24.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032850 PE=4 SV=1
tr|G0SB90|G0SB90_CHATD -          gle1                 -                8.3    3.2   0.6        14    2.4   0.6   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049310 PE=4 SV=1
tr|G0S8S0|G0S8S0_CHATD -          gle1                 -                8.4    3.1   2.2       9.3    3.0   2.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040120 PE=4 SV=1
tr|G0S7I7|G0S7I7_CHATD -          gle1                 -                8.5    3.1  16.9        12    2.6  16.9   1.3   1   0   0   1   1   1   0 SNRNP27 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028280 PE=3 SV=1
tr|G0RZK2|G0RZK2_CHATD -          gle1                 -                8.5    3.1   8.2        11    2.8   8.2   1.1   1   0   0   1   1   1   0 Translation machinery-associated protein 22 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003250 PE=3 SV=1
tr|G0S1M8|G0S1M8_CHATD -          gle1                 -                8.6    3.1  41.5       2.4    4.9  17.3   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014170 PE=4 SV=1
tr|G0SG72|G0SG72_CHATD -          gle1                 -                8.7    3.1   5.2        11    2.7   5.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065280 PE=4 SV=1
tr|G0S839|G0S839_CHATD -          gle1                 -                8.9    3.1   4.9        13    2.5   4.9   1.1   1   0   0   1   1   1   0 RWD domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029270 PE=3 SV=1
tr|G0S9Z7|G0S9Z7_CHATD -          gle1                 -                8.9    3.1  23.9        17    2.1  23.9   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040470 PE=4 SV=1
tr|G0RYK0|G0RYK0_CHATD -          gle1                 -                  9    3.0   2.2        13    2.5   2.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006970 PE=4 SV=1
tr|G0S9V9|G0S9V9_CHATD -          gle1                 -                9.1    3.0  13.5        16    2.2  13.5   1.3   1   0   0   1   1   1   0 ATP-dependent RNA helicase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047360 PE=3 SV=1
tr|G0RY80|G0RY80_CHATD -          gle1                 -                9.1    3.0   7.8        19    2.0   7.8   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005740 PE=4 SV=1
tr|G0RYV9|G0RYV9_CHATD -          gle1                 -                9.2    3.0   0.4        11    2.8   0.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000750 PE=4 SV=1
tr|G0S7A9|G0S7A9_CHATD -          gle1                 -                9.2    3.0   9.0        13    2.6   9.0   1.1   1   0   0   1   1   1   0 RING-type E3 ubiquitin transferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036200 PE=4 SV=1
tr|G0S4U3|G0S4U3_CHATD -          gle1                 -                9.3    3.0   0.2        12    2.6   0.2   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023540 PE=4 SV=1
tr|G0S1N5|G0S1N5_CHATD -          gle1                 -                9.3    3.0  17.6        13    2.5  17.6   1.1   1   0   0   1   1   1   0 Zinc finger domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0014240 PE=4 SV=1
tr|G0S0M8|G0S0M8_CHATD -          gle1                 -                9.4    3.0   2.0       9.5    3.0   2.0   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010580 PE=4 SV=1
tr|G0SFD0|G0SFD0_CHATD -          gle1                 -                9.4    3.0   4.8        12    2.6   4.8   1.1   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061610 PE=4 SV=1
tr|G0SEM7|G0SEM7_CHATD -          gle1                 -                9.4    3.0   0.6        11    2.7   0.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064300 PE=4 SV=1
tr|G0S5U2|G0S5U2_CHATD -          gle1                 -                9.6    3.0   4.8        79   -0.1   6.0   1.8   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033620 PE=4 SV=1
tr|G0RZ52|G0RZ52_CHATD -          gle1                 -                9.6    3.0  14.1        11    2.7  14.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0001730 PE=1 SV=1
tr|G0SF09|G0SF09_CHATD -          gle1                 -                9.7    2.9  15.4        13    2.5  15.4   1.2   1   0   0   1   1   1   0 MARVEL domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060390 PE=4 SV=1
tr|G0S5N7|G0S5N7_CHATD -          gle1                 -                9.7    2.9   5.9        14    2.4   5.9   1.1   1   0   0   1   1   1   0 Putative transcription factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024920 PE=4 SV=1
tr|G0SG75|G0SG75_CHATD -          gle1                 -                9.9    2.9   6.1        14    2.4   6.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065310 PE=3 SV=1
tr|G0SE18|G0SE18_CHATD -          gle1                 -                9.9    2.9   8.0        12    2.6   6.6   1.7   2   0   0   2   2   2   0 CP-type G domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062100 PE=4 SV=1
tr|G0SCU6|G0SCU6_CHATD -          gle1                 -                 10    2.9   0.7        16    2.2   0.7   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058470 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles_from_msa/gle1.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/gle1.txt --max --cpu 8 hmm_profiles_from_msa/gle1.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles_new_hmms
# Date:            Sun Sep 18 09:46:22 2022
# [ok]
